epoch,step,train/loss,train/mean_return,train/net_exposure,train/position_magnitude,train/return,train/turnover,val/position_magnitude,val/return
0,9,1.4232916831970215,-0.007421515882015228,2.1955971717834473,0.24422939121723175,-0.007421516347676516,0.15525852143764496,,
0,19,-0.7157711982727051,0.01209118589758873,1.5642337799072266,0.17391738295555115,0.01209118589758873,0.23264147341251373,,
0,29,0.17181919515132904,0.0007445746450684965,1.1881859302520752,0.13206520676612854,0.0007445746450684965,0.09820936620235443,,
0,31,,,,,,,0.1236831545829773,0.001991880126297474
1,39,-0.2454395592212677,0.004210572224110365,0.7979675531387329,0.08914872258901596,0.004210572224110365,0.10542076081037521,,
1,49,-1.1270473003387451,0.016029872000217438,1.7531540393829346,0.1956043839454651,0.016029872000217438,0.18881523609161377,,
1,59,0.06439265608787537,0.0025161898229271173,1.2701228857040405,0.14119470119476318,0.0025161898229271173,0.13375820219516754,,
1,63,,,,,,,0.165199875831604,0.0016075022285804152
2,69,-0.05761425197124481,0.0028854392003268003,1.1955634355545044,0.13291357457637787,0.0028854392003268003,0.09916779398918152,,
2,79,-0.40715739130973816,0.008288368582725525,1.3973510265350342,0.15530775487422943,0.008288368582725525,0.16435205936431885,,
2,89,-0.45952290296554565,0.011613105423748493,2.1631581783294678,0.24067634344100952,0.011613105423748493,0.22066213190555573,,
2,95,,,,,,,0.19734002649784088,0.001503830892033875
3,99,-0.3818497061729431,0.006730292458087206,1.1828924417495728,0.13152006268501282,0.006730292458087206,0.12469452619552612,,
3,109,0.007399827241897583,0.005687352269887924,1.6538116931915283,0.1840774118900299,0.005687352269887924,0.20000006258487701,,
3,119,0.4771836996078491,0.008111019618809223,2.9648098945617676,0.3301800489425659,0.008111019618809223,0.36326414346694946,,
3,127,,,,,,,0.17941007018089294,0.0017611047951504588
4,129,-1.0006896257400513,0.014542135410010815,1.5126045942306519,0.16823740303516388,0.014542135410010815,0.1662565916776657,,
4,139,-0.14231830835342407,0.008074525743722916,1.8172261714935303,0.20215414464473724,0.008074525743722916,0.2768361270427704,,
4,149,-0.2891697883605957,0.009442430920898914,1.669055461883545,0.18664389848709106,0.009442430920898914,0.2574644982814789,,
4,159,-0.41363757848739624,0.006328852381557226,1.3054356575012207,0.14504840970039368,0.006328852381557226,0.05226517096161842,,
4,159,,,,,,,0.2063017040491104,0.0013617390068247914
5,169,0.15928040444850922,0.0028161893133074045,1.4940778017044067,0.16604295372962952,0.0028161893133074045,0.21140512824058533,,
5,179,-0.8606205582618713,0.017466025426983833,2.3589274883270264,0.2639581859111786,0.017466025426983833,0.2764846980571747,,
5,189,-0.06742343306541443,0.002742878859862685,0.9766875505447388,0.10898707062005997,0.002742878859862685,0.1295333206653595,,
5,191,,,,,,,0.1573566347360611,0.0026091858744621277
