epoch,step,train/IC,train/listfold,train/loss,train/score_std,val/IC,val/return
0,9,-0.02630208060145378,1.4228448867797852,1.4228448867797852,0.03235143423080444,,
0,19,-0.05624999850988388,1.4235025644302368,1.4235025644302368,0.02991793118417263,,
0,29,0.03671874850988388,1.4212273359298706,1.4212273359298706,0.022124072536826134,,
0,31,,,,,-0.01022576354444027,-0.01022576354444027
1,39,0.05790960043668747,1.421978235244751,1.421978235244751,0.019608721137046814,,
1,49,0.02109374850988388,1.4224523305892944,1.4224523305892944,0.01630042865872383,,
1,59,-0.010677085258066654,1.4224497079849243,1.4224497079849243,0.012220127508044243,,
1,63,,,,,-0.0165338646620512,-0.0165338646620512
2,69,-0.026344096288084984,1.422566533088684,1.422566533088684,0.010921523906290531,,
2,79,0.015104169026017189,1.4225140810012817,1.4225140810012817,0.012219480238854885,,
2,89,-0.02291666716337204,1.422694206237793,1.422694206237793,0.009267260320484638,,
2,95,,,,,-0.026228416711091995,-0.026228416711091995
3,99,-0.05052082985639572,1.4224493503570557,1.4224493503570557,0.009070360101759434,,
3,109,-0.00494791753590107,1.4226182699203491,1.4226182699203491,0.006708001252263784,,
3,119,-0.01328125037252903,1.4224568605422974,1.4224568605422974,0.005597521085292101,,
3,127,,,,,-0.04050464183092117,-0.04050464183092117
4,129,0.0494791604578495,1.4222172498703003,1.4222172498703003,0.006173624191433191,,
4,139,0.002864583395421505,1.4220153093338013,1.4220153093338013,0.010305570438504219,,
4,149,0.01380208320915699,1.422411322593689,1.422411322593689,0.011303259059786797,,
4,159,-0.05833333358168602,1.4220889806747437,1.4220889806747437,0.010773569345474243,,
4,159,,,,,-0.03990703448653221,-0.03990703448653221
5,169,0.06614582985639572,1.422439455986023,1.422439455986023,0.007608798332512379,,
5,179,0.002864580601453781,1.4223881959915161,1.4223881959915161,0.00561452005058527,,
5,189,-0.05859375,1.422613501548767,1.422613501548767,0.0038965463172644377,,
5,191,,,,,-0.023173969238996506,-0.023173969238996506
6,199,0.03785311058163643,1.422377109527588,1.422377109527588,0.00436073262244463,,
6,209,0.01901041530072689,1.422195553779602,1.422195553779602,0.004936472047120333,,
6,219,0.0416666604578495,1.4222898483276367,1.4222898483276367,0.004716438241302967,,
6,223,,,,,-0.03313412517309189,-0.03313412517309189
7,229,0.032258059829473495,1.4222842454910278,1.4222842454910278,0.005542082712054253,,
7,239,-0.0403645783662796,1.4225692749023438,1.4225692749023438,0.0047209071926772594,,
7,249,-0.03854166343808174,1.4225231409072876,1.4225231409072876,0.0034540637861937284,,
7,255,,,,,-0.030942898243665695,-0.030942898243665695
8,259,0.047656238079071045,1.4224159717559814,1.4224159717559814,0.003018359187990427,,
8,269,-0.00989583320915699,1.422377347946167,1.422377347946167,0.003645986085757613,,
8,279,0.00989583320915699,1.42252516746521,1.42252516746521,0.003353498177602887,,
8,287,,,,,-0.03406374901533127,-0.03406374901533127
9,289,-0.06276041269302368,1.4225770235061646,1.4225770235061646,0.003144538262858987,,
9,299,-0.012499995529651642,1.422487497329712,1.422487497329712,0.0034801808651536703,,
9,309,0.01328124850988388,1.4224166870117188,1.4224166870117188,0.002888519549742341,,
9,319,-0.3055555522441864,1.4227265119552612,1.4227265119552612,0.0018892927328124642,,
9,319,,,,,0.005843291990458965,0.005843291990458965
10,329,0.03880207985639572,1.4224836826324463,1.4224836826324463,0.0026229582726955414,,
