epoch,step,train/loss,train/mean_return,train/position_magnitude,val/position_magnitude,val/return
0,9,0.31880444288253784,-0.003249834291636944,0.09498834609985352,,
0,19,0.22037632763385773,-0.0050010583363473415,0.08988682180643082,,
0,29,0.23003509640693665,-0.002303114626556635,0.09327054023742676,,
0,39,0.2747483253479004,-0.0032756770960986614,0.11141615360975266,,
0,49,0.3007849454879761,-0.004712562542408705,0.15424227714538574,,
0,59,0.07115793228149414,-0.0010222381679341197,0.1471046656370163,,
0,62,,,,0.10992418229579926,0.0004744079487863928
1,69,0.12336502224206924,-0.0019158382201567292,0.1850385069847107,,
1,79,-0.06523114442825317,0.0011756105814129114,0.1894829273223877,,
1,89,0.39259442687034607,-0.007272535469383001,0.19562949240207672,,
1,99,-0.053278062492609024,0.0008718468016013503,0.21890825033187866,,
1,109,0.048954736441373825,-0.000657338765449822,0.22499996423721313,,
1,119,0.2713957726955414,-0.004147648811340332,0.22447162866592407,,
1,125,,,,0.21378163993358612,0.0005115188541822135
2,129,-0.1008918434381485,0.002287851646542549,0.21137353777885437,,
2,139,-0.1441279649734497,0.002081750426441431,0.1974446177482605,,
2,149,-0.0522158145904541,0.0005576785770244896,0.1945919245481491,,
2,159,-0.030805597081780434,0.0005187633796595037,0.179596945643425,,
2,169,-0.056674305349588394,0.0019876775331795216,0.17929023504257202,,
2,179,0.09738083928823471,-0.0017072767950594425,0.16062189638614655,,
2,188,,,,0.03200629726052284,0.00037983711808919907
3,189,0.22075586020946503,-0.0013938783667981625,0.12194815278053284,,
3,199,-0.12251054495573044,0.001361814676783979,0.12560182809829712,,
3,209,0.08023965358734131,-0.0010437192395329475,0.28965991735458374,,
3,219,-0.05172765254974365,0.000693380949087441,0.3603001832962036,,
3,229,0.12144427746534348,-0.0018828646279871464,0.39446768164634705,,
3,239,-0.10951614379882812,0.0022285261657088995,0.39400923252105713,,
3,249,-0.07674115151166916,0.0011351271532475948,0.3884534537792206,,
3,251,,,,0.4274712800979614,-0.0005215233541093767
4,259,-0.054730795323848724,0.0006807385943830013,0.40983453392982483,,
4,269,0.07689695805311203,-0.000950480462051928,0.40660104155540466,,
4,279,0.07212213426828384,-0.0010979316430166364,0.40355485677719116,,
4,289,-0.1581767499446869,0.002243865979835391,0.3948217034339905,,
4,299,-0.026723587885499,0.0011082140263170004,0.3953053653240204,,
4,309,0.1742399036884308,-0.0031516405288130045,0.3904295265674591,,
4,314,,,,0.41363561153411865,-0.0005203789914958179
5,319,-0.2805362045764923,0.005035656504333019,0.3943636119365692,,
5,329,-0.20040686428546906,0.003800337901338935,0.396395742893219,,
5,339,-0.08880722522735596,0.0017562544671818614,0.3987818658351898,,
5,349,-0.048617444932460785,0.0007149700541049242,0.40594080090522766,,
5,359,-0.3746165335178375,0.005429139360785484,0.40111860632896423,,
5,369,0.10047731548547745,-0.0017663787584751844,0.40028783679008484,,
5,377,,,,0.411123126745224,-0.0005173091194592416
6,379,-0.168438121676445,0.0025576725602149963,0.40244337916374207,,
6,389,-0.5183782577514648,0.007344937417656183,0.3992255628108978,,
6,399,-0.2897234559059143,0.0036857028026133776,0.4049184024333954,,
6,409,-0.1638639271259308,0.002125916536897421,0.4053703546524048,,
6,419,-0.07582912594079971,0.001120146131142974,0.40579143166542053,,
6,429,-0.01940533146262169,0.0003159943735226989,0.4081311523914337,,
6,439,-0.20084747672080994,0.003236815333366394,0.4067842364311218,,
6,440,,,,0.41422757506370544,-0.0005152398371137679
7,449,0.034903090447187424,-0.0003883228055201471,0.4067344069480896,,
7,459,-0.26857420802116394,0.004776832181960344,0.40738362073898315,,
7,469,0.1937890350818634,-0.004407105036079884,0.39955276250839233,,
7,479,0.24855436384677887,-0.005373898893594742,0.3970705270767212,,
7,489,-0.1247812956571579,0.0023933211341500282,0.39773523807525635,,
7,499,-0.1739765852689743,0.002167662139981985,0.39280733466148376,,
7,503,,,,0.41014885902404785,-0.0005151120712980628
8,509,0.26409757137298584,-0.004545381758362055,0.3819737136363983,,
8,519,0.053704872727394104,-0.0012578066671267152,0.35207557678222656,,
8,529,-0.009183771908283234,0.00011225939670111984,0.3524281084537506,,
8,539,-0.10753711313009262,0.0013806377537548542,0.3514716327190399,,
8,549,0.07722139358520508,-0.0012145958608016372,0.37393420934677124,,
8,559,0.12864619493484497,-0.0027809934690594673,0.3746407926082611,,
8,566,,,,0.41436144709587097,-0.000515494670253247
9,569,-0.15365484356880188,0.0021797341760247946,0.3754480481147766,,
9,579,0.15229521691799164,-0.0020158179104328156,0.3630555272102356,,
9,589,-0.044169098138809204,0.0006503824261017144,0.3633786737918854,,
9,599,-0.03628377243876457,0.0006038853316567838,0.34234681725502014,,
