epoch,step,train/loss,train/mean_return,train/position_magnitude,train/sharpe,train/turnover,val/position_magnitude,val/return
0,9,-0.0970151275396347,0.006979923229664564,0.46406152844429016,0.09918805211782455,0.04183923825621605,,
0,19,0.014168811962008476,-0.0008641937747597694,0.45077085494995117,-0.012128150090575218,0.03236840292811394,,
0,29,-0.07273577153682709,0.002406595041975379,0.3861798644065857,0.07423622906208038,0.031635258346796036,,
0,31,,,,,,0.3605853319168091,0.0005147753981873393
1,39,0.09294474869966507,-0.002681421348825097,0.2611333131790161,-0.09224798530340195,0.03960132598876953,,
1,49,-0.2809906005859375,0.01022426225244999,0.2122538536787033,0.28145042061805725,0.033204611390829086,,
1,59,-0.03740093111991882,0.0017342963255941868,0.35825252532958984,0.038686178624629974,0.013898654840886593,,
1,63,,,,,,0.3640570342540741,-0.0005200101877562702
2,69,-0.02841757982969284,0.0016061213100329041,0.36163896322250366,0.029726997017860413,0.014275185763835907,,
2,79,-0.12094128876924515,0.00433051073923707,0.356645405292511,0.122215136885643,0.01584811694920063,,
2,89,-0.10797963291406631,0.0041221510618925095,0.33506712317466736,0.10910394042730331,0.01477002538740635,,
2,95,,,,,,0.32057878375053406,-0.0005284470971673727
3,99,-0.020954471081495285,0.0011034610215574503,0.31631413102149963,0.0219577606767416,0.016681160777807236,,
3,109,-0.10925883799791336,0.003410431556403637,0.28383782505989075,0.11006733030080795,0.01570293679833412,,
3,119,-0.06362348049879074,0.0014140598941594362,0.21716058254241943,0.0641036108136177,0.022068291902542114,,
3,127,,,,,,0.2275332808494568,-0.0005434508202597499
4,129,-0.046914394944906235,0.002111629582941532,0.24875828623771667,0.04753735288977623,0.020318567752838135,,
4,139,-0.09392350912094116,0.0029976945370435715,0.2588100731372833,0.09459809958934784,0.022863784804940224,,
4,149,0.056274838745594025,-0.0014486993895843625,0.2368122935295105,-0.055707164108753204,0.02459319494664669,,
4,159,-1.2864248752593994,0.011358625255525112,0.2647838890552521,1.2871280908584595,0.019876165315508842,,
4,159,,,,,,0.22299771010875702,-0.0005481452099047601
5,169,0.07043095678091049,-0.0025225915014743805,0.23451590538024902,-0.06987114250659943,0.028021786361932755,,
5,179,0.00722681637853384,-0.00018324691336601973,0.18048366904258728,-0.006885987240821123,0.036640916019678116,,
5,189,0.077022984623909,-0.0011852069292217493,0.18636706471443176,-0.07666464149951935,0.03113660216331482,,
5,191,,,,,,0.1680709272623062,-0.000571457960177213
6,199,-0.19424262642860413,0.003148202085867524,0.15399199724197388,0.1945071965456009,0.03440941497683525,,
6,209,-0.272818922996521,0.005750237964093685,0.12221428751945496,0.27299460768699646,0.044767964631319046,,
6,219,0.08446614444255829,-0.0014259975869208574,0.12447304278612137,-0.0842609852552414,0.0764998346567154,,
6,223,,,,,,0.20836536586284637,-0.0005745579255744815
7,229,-0.026532743126153946,0.0012369011528789997,0.3052867650985718,0.027479035779833794,0.03857545554637909,,
7,239,-0.11146806180477142,0.003404118586331606,0.29923614859580994,0.11237601190805435,0.03778254613280296,,
7,249,-0.09561660885810852,0.003101501613855362,0.28453442454338074,0.09643763303756714,0.03715795651078224,,
