epoch,step,train/loss,train/mean_return,train/position_magnitude,train/sharpe,train/turnover,val/position_magnitude,val/return
0,9,0.11126155406236649,-0.01007928792387247,0.6193439364433289,-0.10661458224058151,0.01616458036005497,,
0,19,-0.011305480264127254,0.0015225348761305213,0.6113104820251465,0.015851302072405815,0.016037464141845703,,
0,29,0.08056581020355225,-0.0038947444409132004,0.6085336208343506,-0.07630124688148499,0.011203237809240818,,
0,31,,,,,,0.605862557888031,-0.000523077673278749
1,39,-0.0792560949921608,0.005223005078732967,0.5979060530662537,0.08335000276565552,0.010359421372413635,,
1,49,-0.26007378101348877,0.025009969249367714,0.571395993232727,0.2638953924179077,0.011115188710391521,,
1,59,-0.024781905114650726,0.001902911113575101,0.5404348373413086,0.028111591935157776,0.008168580010533333,,
1,63,,,,,,0.5251781940460205,-0.0005227111396379769
2,69,-0.024428369477391243,0.0021583496127277613,0.5166054964065552,0.027488458901643753,0.007815148681402206,,
2,79,-0.10801482200622559,0.005259214900434017,0.47818437218666077,0.11070015281438828,0.007959837093949318,,
2,89,-0.10673575103282928,0.005445418879389763,0.4406352937221527,0.10912393033504486,0.008917423896491528,,
2,95,,,,,,0.4232664406299591,-0.0005222166073508561
3,99,-0.01643390953540802,0.001253406167961657,0.42042624950408936,0.018625492230057716,0.008466728962957859,,
3,109,-0.09607212990522385,0.0042519401758909225,0.3978627622127533,0.09807822108268738,0.008452077396214008,,
3,119,-0.06931615620851517,0.0027161750476807356,0.3780076801776886,0.07112739235162735,0.0076319132931530476,,
3,127,,,,,,0.3840098977088928,-0.0005211155512370169
4,129,-0.050408560782670975,0.0036340232472866774,0.38810694217681885,0.05223763734102249,0.006447747815400362,,
4,139,-0.11508938670158386,0.005514401476830244,0.3832438290119171,0.1168791800737381,0.006413396913558245,,
4,149,0.056530967354774475,-0.002123509766533971,0.3637983202934265,-0.05493265390396118,0.005489314906299114,,
4,159,-1.3293447494506836,0.014277420938014984,0.33870643377304077,1.3307275772094727,0.004700538702309132,,
4,159,,,,,,0.3286288380622864,-0.0005223080515861511
5,169,0.10371625423431396,-0.004826245363801718,0.3079427480697632,-0.10233954340219498,0.008550165221095085,,
5,179,-0.012230654247105122,0.0006075267447158694,0.28905022144317627,0.013487816788256168,0.008418570272624493,,
5,189,0.07797464728355408,-0.0018862505676224828,0.29249101877212524,-0.07683723419904709,0.005627631209790707,,
5,191,,,,,,0.29625627398490906,-0.0005230807582847774
6,199,-0.08877816796302795,0.0029190215282142162,0.3088516592979431,0.0900283008813858,0.00591331347823143,,
6,209,-0.2637856900691986,0.012987105175852776,0.29612061381340027,0.2649606764316559,0.0059549384750425816,,
6,219,-0.020927350968122482,0.0007549025467596948,0.2739202082157135,0.02201947569847107,0.006827267352491617,,
6,223,,,,,,0.27064669132232666,-0.0005218963488005102
7,229,-0.028733162209391594,0.0012502206955105066,0.28225305676460266,0.029780833050608635,0.005015475209802389,,
7,239,-0.10839126259088516,0.0029155469965189695,0.26794564723968506,0.1093437597155571,0.004686362110078335,,
7,249,-0.1086961105465889,0.0031760206911712885,0.25597482919692993,0.10958170890808105,0.004603369161486626,,
7,255,,,,,,0.24880358576774597,-0.0005201598396524787
8,259,-0.013884587213397026,0.0005755792954005301,0.24306882917881012,0.01475562248378992,0.005595579743385315,,
8,269,-0.10093285143375397,0.0026181801222264767,0.23583078384399414,0.1017569825053215,0.005352294538170099,,
8,279,-0.07491689920425415,0.0016514223534613848,0.21620520949363708,0.07569612562656403,0.006221488583832979,,
8,287,,,,,,0.23057234287261963,-0.000521944893989712
9,289,-0.0536763034760952,0.0023169885389506817,0.23630496859550476,0.054516278207302094,0.005625608377158642,,
9,299,-0.11366438865661621,0.0032814613077789545,0.23164469003677368,0.11444997787475586,0.004973861388862133,,
9,309,0.05678413808345795,-0.0013495096936821938,0.2247243970632553,-0.055964015424251556,0.006291968282312155,,
9,319,-1.3294037580490112,0.009998726658523083,0.23551811277866364,1.3301801681518555,0.004428671672940254,,
9,319,,,,,,0.22525377571582794,-0.0005250979447737336
10,329,0.10024187713861465,-0.0033439979888498783,0.22002452611923218,-0.09951074421405792,0.004929191432893276,,
10,339,-0.015680387616157532,0.00049830466741696,0.19537530839443207,0.016368864104151726,0.006125197745859623,,
10,349,0.07565093785524368,-0.0013378863222897053,0.21237137913703918,-0.07497691363096237,0.004453620407730341,,
10,351,,,,,,0.21946673095226288,-0.0005237316363491118
11,359,-0.0877612829208374,0.002107828389853239,0.22541601955890656,0.08845197409391403,0.0036470468621701,,
11,369,-0.26463401317596436,0.009716951288282871,0.22067710757255554,0.26533281803131104,0.004232868552207947,,
11,379,-0.030182864516973495,0.0008715645526535809,0.2239016443490982,0.030859585851430893,0.003505165223032236,,
11,383,,,,,,0.225928395986557,-0.0005201830063015223
12,389,-0.025075171142816544,0.0008907562587410212,0.22731423377990723,0.025820693001151085,0.0045730238780379295,,
12,399,-0.10889969766139984,0.002431165659800172,0.22323349118232727,0.10960879921913147,0.004212194588035345,,
12,409,-0.10923200100660324,0.0026725600473582745,0.2151765525341034,0.10989837348461151,0.004064060281962156,,
12,415,,,,,,0.21358907222747803,-0.0005191233358345926
