epoch,step,train/loss,train/mean_return,train/position_magnitude,train/return,train/turnover,val/position_magnitude,val/return
0,9,0.8703053593635559,-0.008672519586980343,0.5524467825889587,-0.008672519586980343,0.012635553255677223,,
0,19,-0.19006244838237762,0.0019372602691873908,0.6051744222640991,0.0019372603856027126,0.009365293197333813,,
0,29,0.39294564723968506,-0.003890500171110034,0.6239956617355347,-0.003890500171110034,0.009853615425527096,,
0,31,,,,,,0.6365995407104492,-0.0005159475840628147
1,39,-0.6323255896568298,0.006369702983647585,0.6814525723457336,0.006369702983647585,0.006883470341563225,,
1,49,-3.0526723861694336,0.030575092881917953,0.6952201724052429,0.030575091019272804,0.013911176472902298,,
1,59,-0.2544296681880951,0.002595572965219617,0.7152279019355774,0.002595572965219617,0.022148823365569115,,
1,63,,,,,,0.745307445526123,-0.00045282483915798366
2,69,-0.3536543846130371,0.003594685345888138,0.7624176740646362,0.003594685113057494,0.011092891916632652,,
2,79,-1.107135534286499,0.011122002266347408,0.6979122161865234,0.011122002266347408,0.07065917551517487,,
2,89,-1.4646474123001099,0.014706241898238659,0.758493185043335,0.014706241898238659,0.08076509088277817,,
2,95,,,,,,0.7870284914970398,-0.0003030537918675691
3,99,-0.6036571860313416,0.006096696015447378,0.7642368674278259,0.0060966964811086655,0.058788176625967026,,
3,109,-1.196791648864746,0.01200717780739069,0.5831291675567627,0.01200717780739069,0.2279481738805771,,
3,119,-1.3764487504959106,0.013828655704855919,0.7815307974815369,0.013828655704855919,0.16707833111286163,,
3,127,,,,,,0.8588359951972961,-0.0002489977050572634
4,129,-1.540282130241394,0.015477139502763748,0.8560717105865479,0.015477139502763748,0.11364056915044785,,
4,139,0.32487431168556213,-0.003227530512958765,0.42446327209472656,-0.003227530512958765,0.3197515904903412,,
4,149,-0.20717456936836243,0.002153310924768448,0.8968501687049866,0.002153310924768448,0.15052007138729095,,
4,159,-3.9609978199005127,0.0396965928375721,0.9306620359420776,0.0396965928375721,0.004709291271865368,,
4,159,,,,,,0.9236975908279419,-0.00023412020527757704
5,169,1.8398175239562988,-0.018315836787223816,0.9038174152374268,-0.018315836787223816,0.17372190952301025,,
5,179,-3.7141671180725098,0.037211183458566666,0.8100923299789429,0.037211183458566666,0.4745785892009735,,
5,189,-0.3429492115974426,0.003515084506943822,0.9153164625167847,0.0035150842741131783,0.2506744861602783,,
5,191,,,,,,0.9227120280265808,0.00027978181606158614
6,199,-0.7329459190368652,0.007396894972771406,0.8114557266235352,0.007396894507110119,0.2985638678073883,,
6,209,0.2596590220928192,-0.0025429839733988047,0.7113146185874939,-0.0025429839733988047,0.4390796422958374,,
6,219,-0.6413329839706421,0.006502395961433649,0.941008985042572,0.006502395961433649,0.06782043725252151,,
6,223,,,,,,0.9191536903381348,6.422813748940825e-05
7,229,-1.547022819519043,0.015546934679150581,0.8524453639984131,0.015546934679150581,0.24100486934185028,,
7,239,-3.4779415130615234,0.034856878221035004,0.8559408187866211,0.034856878221035004,0.6963467597961426,,
7,249,-3.807680606842041,0.03816375881433487,0.9163499474525452,0.03816375881433487,0.35012295842170715,,
7,255,,,,,,0.9412943720817566,0.0006052324897609651
8,259,-1.6836864948272705,0.016925020143389702,0.9222308397293091,0.016925020143389702,0.413796603679657,,
8,269,-1.3421128988265991,0.013501808047294617,0.8701980710029602,0.013501808978617191,0.8591734170913696,,
8,279,-1.722203254699707,0.017312247306108475,0.9429168701171875,0.017312247306108475,0.7558733224868774,,
8,287,,,,,,0.9338914155960083,0.0008503849967382848
9,289,-8.439048767089844,0.08448106795549393,0.9459367394447327,0.08448106795549393,0.9761921167373657,,
9,299,-3.4349265098571777,0.03444202244281769,0.956730306148529,0.03444202244281769,0.7194250226020813,,
9,309,-1.6025176048278809,0.016118831932544708,0.9625579118728638,0.016118831932544708,0.8369757533073425,,
9,319,-4.198127269744873,0.0420675203204155,0.9033817052841187,0.0420675165951252,0.11747264862060547,,
9,319,,,,,,0.9708967804908752,0.0006752536864951253
10,329,1.7142201662063599,-0.01704523153603077,0.9844578504562378,-0.01704523153603077,0.5568843483924866,,
10,339,-6.077511310577393,0.060870058834552765,0.9687843322753906,0.06087006255984306,0.6695339679718018,,
10,349,-1.7413252592086792,0.01750912331044674,0.9768532514572144,0.01750912331044674,0.47495874762535095,,
10,351,,,,,,0.9742947816848755,0.0005700780311599374
11,359,-4.031476020812988,0.04040888324379921,0.9661309719085693,0.04040888324379921,0.5995724201202393,,
11,369,-7.243968963623047,0.07253658771514893,0.9834035038948059,0.07253658771514893,0.6807227730751038,,
11,379,-1.6468125581741333,0.016563937067985535,0.9726275205612183,0.016563937067985535,0.3856387138366699,,
11,383,,,,,,0.9713472723960876,0.0005088322795927525
