epoch,step,train/IC,train/listfold,train/loss,train/score_std,val/IC,val/return
0,9,-0.0377604104578495,1.4230833053588867,1.4230833053588867,0.0510898232460022,,
0,19,0.03125,1.4223480224609375,1.4223480224609375,0.04989127442240715,,
0,29,-0.00781249301508069,1.4230835437774658,1.4230835437774658,0.04445185139775276,,
0,31,,,,,-0.04661354422569275,-0.04661354422569275
1,39,-0.044915247708559036,1.4226226806640625,1.4226226806640625,0.03212841972708702,,
1,49,0.055729158222675323,1.4217426776885986,1.4217426776885986,0.061055950820446014,,
1,59,0.09166666865348816,1.4214569330215454,1.4214569330215454,0.024454468861222267,,
1,63,,,,,0.010292164981365204,0.010292164981365204
