epoch,step,train/IC,train/listfold,train/loss,train/score_std,val/IC,val/return
0,9,-0.0078125,1.4227943420410156,1.4227943420410156,0.05138750746846199,,
0,19,0.04661458358168602,1.4225146770477295,1.4225146770477295,0.05521195009350777,,
0,29,-0.03411458432674408,1.423264503479004,1.423264503479004,0.035469166934490204,,
0,31,,,,,-0.02735723741352558,-0.02735723741352558
1,39,-0.01497175358235836,1.4233074188232422,1.4233074188232422,0.03522996976971626,,
1,49,-0.021093742921948433,1.4224648475646973,1.4224648475646973,0.03459623083472252,,
1,59,-0.02968750335276127,1.423978328704834,1.423978328704834,0.031061634421348572,,
1,63,,,,,-0.012151392176747322,-0.012151392176747322
2,69,0.05241934955120087,1.4224482774734497,1.4224482774734497,0.0207517072558403,,
2,79,-0.0221354141831398,1.4224811792373657,1.4224811792373657,0.017847036942839622,,
2,89,0.05156249552965164,1.4218060970306396,1.4218060970306396,0.025767536833882332,,
2,95,,,,,0.004780875518918037,0.004780875518918037
3,99,0.02265625260770321,1.4223496913909912,1.4223496913909912,0.02449391596019268,,
3,109,0.02109374850988388,1.423032522201538,1.423032522201538,0.02885987050831318,,
3,119,0.0729166641831398,1.4220869541168213,1.4220869541168213,0.02652387134730816,,
3,127,,,,,0.04774235934019089,0.04774235934019089
4,129,-0.03125,1.4223687648773193,1.4223687648773193,0.02653730846941471,,
4,139,-0.01979166641831398,1.4222898483276367,1.4222898483276367,0.014473594725131989,,
4,149,0.0010416661389172077,1.4233524799346924,1.4233524799346924,0.02527417242527008,,
4,159,0.28333333134651184,1.4201078414916992,1.4201078414916992,0.027788648381829262,,
4,159,,,,,0.029482074081897736,0.029482074081897736
5,169,0.045833323150873184,1.4223088026046753,1.4223088026046753,0.013025534339249134,,
5,179,0.0364583283662796,1.4220751523971558,1.4220751523971558,0.01099775917828083,,
5,189,0.02968749776482582,1.4218493700027466,1.4218493700027466,0.025662753731012344,,
5,191,,,,,-0.0035192565992474556,-0.0035192565992474556
6,199,-0.036723166704177856,1.4227731227874756,1.4227731227874756,0.011095983907580376,,
6,209,0.06614582240581512,1.4218281507492065,1.4218281507492065,0.022772710770368576,,
6,219,0.00390625,1.4232864379882812,1.4232864379882812,0.04309802129864693,,
6,223,,,,,-0.009694554843008518,-0.009694554843008518
7,229,0.018817204982042313,1.422970175743103,1.422970175743103,0.04002518951892853,,
7,239,0.03515625,1.4221794605255127,1.4221794605255127,0.01438826136291027,,
7,249,0.06145833060145378,1.4219624996185303,1.4219624996185303,0.046008963137865067,,
7,255,,,,,-0.0045152707025408745,-0.0045152707025408745
8,259,-0.01640624925494194,1.422767996788025,1.422767996788025,0.020776433870196342,,
8,269,0.03593749925494194,1.4223887920379639,1.4223887920379639,0.020569121465086937,,
8,279,-0.01796874776482582,1.4228638410568237,1.4228638410568237,0.017857832834124565,,
8,287,,,,,0.0018592317355796695,0.0018592317355796695
9,289,-0.005208328366279602,1.4225517511367798,1.4225517511367798,0.0195098128169775,,
9,299,6.984919309616089e-09,1.4223145246505737,1.4223145246505737,0.016518067568540573,,
9,309,-0.028124993667006493,1.4223904609680176,1.4223904609680176,0.014674012549221516,,
9,319,0.35555553436279297,1.419703483581543,1.419703483581543,0.012797251343727112,,
9,319,,,,,-0.0012616246240213513,-0.0012616246240213513
10,329,-0.0546874962747097,1.4232308864593506,1.4232308864593506,0.03028452955186367,,
10,339,-0.04635415971279144,1.4229069948196411,1.4229069948196411,0.016948428004980087,,
10,349,-0.02864583022892475,1.4231666326522827,1.4231666326522827,0.02109680324792862,,
10,351,,,,,0.0036520585417747498,0.0036520585417747498
11,359,-0.06045197322964668,1.4226285219192505,1.4226285219192505,0.008929186500608921,,
11,369,0.04322916641831398,1.4227335453033447,1.4227335453033447,0.012651054188609123,,
11,379,0.046875,1.4226032495498657,1.4226032495498657,0.011484445072710514,,
11,383,,,,,0.044820718467235565,0.044820718467235565
12,389,-0.03951612859964371,1.4222520589828491,1.4222520589828491,0.012339921668171883,,
12,399,-0.06927082687616348,1.4225565195083618,1.4225565195083618,0.009235692210495472,,
12,409,-0.011458338238298893,1.422398567199707,1.422398567199707,0.021753311157226562,,
12,415,,,,,0.02310756780207157,0.02310756780207157
13,419,0.010156246833503246,1.4228225946426392,1.4228225946426392,0.015371167100965977,,
13,429,-0.012500000186264515,1.4223793745040894,1.4223793745040894,0.010519847273826599,,
13,439,-0.052864573895931244,1.4222596883773804,1.4222596883773804,0.01487639918923378,,
13,447,,,,,-0.01992032118141651,-0.01992032118141651
14,449,-0.01770833320915699,1.4221904277801514,1.4221904277801514,0.015594679862260818,,
14,459,-0.046875,1.422572135925293,1.422572135925293,0.0064561874605715275,,
14,469,-0.06848958134651184,1.423025369644165,1.423025369644165,0.013694418594241142,,
14,479,-0.06111110746860504,1.4224939346313477,1.4224939346313477,0.005590800661593676,,
14,479,,,,,0.035989370197057724,0.035989370197057724
