epoch,step,train/IC,train/listfold,train/loss,train/score_std,val/IC,val/return
0,9,-0.03333332762122154,1.4227709770202637,1.4227709770202637,0.008659065701067448,,
0,19,0.057812489569187164,1.422287940979004,1.422287940979004,0.005531533621251583,,
0,29,-0.05755208060145378,1.4224110841751099,1.4224110841751099,0.005425028037279844,,
0,31,,,,,-0.05511287599802017,-0.05511287599802017
1,39,-0.1098870038986206,1.4227286577224731,1.4227286577224731,0.004400231409817934,,
1,49,0.08177083730697632,1.4221665859222412,1.4221665859222412,0.006393956486135721,,
1,59,0.05104167014360428,1.4224512577056885,1.4224512577056885,0.008386789821088314,,
1,63,,,,,0.027689240872859955,0.027689240872859955
2,69,0.0026881753001362085,1.4225740432739258,1.4225740432739258,0.005940804723650217,,
2,79,0.0273437462747097,1.4222885370254517,1.4222885370254517,0.007824590429663658,,
2,89,-0.03802083432674408,1.4225473403930664,1.4225473403930664,0.00535683473572135,,
2,95,,,,,-0.0035856582690030336,-0.0035856582690030336
3,99,-0.0005208319053053856,1.4224447011947632,1.4224447011947632,0.004241526126861572,,
3,109,0.012500004842877388,1.4223978519439697,1.4223978519439697,0.004047652240842581,,
