epoch,step,train/IC,train/listfold,train/loss,train/score_std,val/IC,val/return
0,9,-0.02343749813735485,1.423194408416748,1.423194408416748,0.034670013934373856,,
0,19,-0.01718750223517418,1.4232290983200073,1.4232290983200073,0.04282977804541588,,
0,29,-0.02760416641831398,1.423038363456726,1.423038363456726,0.024343494325876236,,
0,31,,,,,-0.029282869771122932,-0.029282869771122932
1,39,0.026836158707737923,1.4226032495498657,1.4226032495498657,0.026954611763358116,,
