Date,ABEV3.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,ITUB4.SA,PETR4.SA,RENT3.SA,VALE3.SA,WEGE3.SA
2014-01-31,9.369889259338379,2.032153606414795,4.755657196044922,5.360000133514404,6.775732040405273,3.6664650440216064,7.146161079406738,14.533304214477539,3.1568655967712402
2014-02-03,9.026307106018066,1.9558672904968262,4.580366611480713,5.171496391296387,6.698448657989502,3.454458236694336,7.0290141105651855,14.12874698638916,3.1453447341918945
2014-02-04,9.067071914672852,1.9728189706802368,4.730614185333252,5.296730041503906,7.023281097412109,3.5143179893493652,7.0290141105651855,14.366204261779785,3.1603221893310547
2014-02-05,8.991366386413574,2.0024874210357666,4.698744297027588,5.274174690246582,6.989677906036377,3.4494693279266357,7.040726661682129,14.731189727783203,3.1338236331939697
2014-02-06,9.41648006439209,2.099961996078491,4.91729211807251,5.378753185272217,7.135298252105713,3.544248580932617,7.113362789154053,15.065382957458496,3.197192668914795
2014-02-07,9.544594764709473,2.038511037826538,4.892251491546631,5.454626083374023,7.130815505981445,3.6041088104248047,7.204736232757568,14.973040580749512,3.1683874130249023
2014-02-10,9.399006843566895,2.0130810737609863,5.024285316467285,5.358250617980957,7.119619369506836,3.6440165042877197,7.441381931304932,14.792752265930176,3.1660823822021484
2014-02-11,9.666886329650879,2.0575814247131348,4.9742045402526855,5.499501705169678,7.133057117462158,3.731313705444336,7.685051441192627,15.166531562805176,3.2375168800354004
2014-02-12,9.404830932617188,1.9855340719223022,4.985586643218994,5.472621440887451,7.056889533996582,3.731313705444336,7.673338890075684,15.15333366394043,3.3066446781158447
2014-02-13,9.509651184082031,1.9579867124557495,4.707850456237793,5.458151340484619,7.025525093078613,3.6440165042877197,7.368746757507324,15.091774940490723,3.341207265853882
2014-02-14,9.713470458984375,2.030033588409424,4.690017223358154,5.520176887512207,7.079292297363281,3.63653302192688,7.497616291046143,15.320436477661133,3.424161434173584
2014-02-17,9.64359188079834,2.0067243576049805,4.69230842590332,5.4829607009887695,6.989677906036377,3.599120855331421,7.303144931793213,15.166531562805176,3.4794652462005615
2014-02-18,9.404830932617188,1.9643442630767822,4.554837226867676,5.458151340484619,6.947109222412109,3.5193068981170654,7.439037322998047,15.201706886291504,3.4114904403686523
2014-02-19,9.515472412109375,2.0257956981658936,4.502138137817383,5.5718584060668945,7.086939334869385,3.5417537689208984,7.462466716766357,15.355611801147461,3.432227373123169
2014-02-20,9.626120567321777,2.0067243576049805,4.6854329109191895,5.522242069244385,7.077821254730225,3.53177809715271,7.462466716766357,15.179720878601074,3.4495110511779785
2014-02-21,9.655237197875977,2.038511037826538,4.635025978088379,5.638018608093262,7.086939334869385,3.529283046722412,7.544472694396973,15.2192964553833,3.45066237449646
2014-02-24,9.666886329650879,2.0554628372192383,4.518178462982178,5.704180717468262,7.125674724578857,3.616580009460449,7.504641532897949,14.805943489074707,3.414944887161255
2014-02-25,9.666886329650879,2.0406291484832764,4.534214973449707,5.5718584060668945,7.077821254730225,3.53676700592041,7.46012544631958,14.295848846435547,3.3561856746673584
2014-02-26,9.725117683410645,2.017319679260254,4.467772483825684,5.555322170257568,7.050477504730225,3.417043685913086,7.39920711517334,14.300244331359863,3.4948883056640625
2014-02-27,9.83576488494873,2.133866310119629,4.648773193359375,5.671098709106445,7.162135601043701,3.5018470287323,7.410924911499023,14.515718460083008,3.4983766078948975
2014-02-28,9.829938888549805,2.133866310119629,4.742712020874023,5.646291255950928,7.11200475692749,3.3896093368530273,7.300799369812012,14.511321067810059,3.556509017944336
2014-03-05,9.783353805541992,2.1190335750579834,4.742712020874023,5.5759992599487305,7.005990028381348,3.3147830963134766,7.188337802886963,14.005622863769531,3.522792100906372
2014-03-06,9.824116706848145,2.1614134311676025,4.6396098136901855,5.79339075088501,7.199779987335205,3.3497018814086914,7.230510234832764,13.961645126342773,3.5483694076538086
2014-03-07,9.760059356689453,2.1762478351593018,4.554837226867676,5.718905925750732,7.056142330169678,3.322265625,7.064157962799072,13.433958053588867,3.5204672813415527
2014-03-10,9.719294548034668,2.129629135131836,4.513595104217529,5.5823493003845215,6.964953422546387,3.2449450492858887,7.038383483886719,13.209698677062988,3.4739623069763184
2014-03-11,9.725117683410645,2.095723867416382,4.616695880889893,5.6092448234558105,7.040188312530518,3.2698874473571777,7.11101770401001,12.994221687316895,3.4797744750976562
2014-03-12,9.73676586151123,2.0978431701660156,4.48045539855957,5.644416809082031,6.953562259674072,3.322265625,7.099299907684326,13.240477561950684,3.5111656188964844
2014-03-13,9.66106128692627,2.087247371673584,4.452524662017822,5.524418354034424,6.860080242156982,3.2499337196350098,7.134449005126953,12.884291648864746,3.4634978771209717
2014-03-14,9.527124404907227,2.0745341777801514,4.385026931762695,5.456132411956787,6.677690029144287,3.1875789165496826,7.263313293457031,12.866701126098633,3.4879140853881836
2014-03-17,9.707650184631348,2.127509117126465,4.352442264556885,5.572000980377197,6.81676721572876,3.1352012157440186,7.275025844573975,12.888688087463379,3.590226650238037
2014-03-18,9.777528762817383,2.1783668994903564,4.410630226135254,5.638214588165283,6.944432258605957,3.234968900680542,7.342973232269287,13.108555793762207,3.6739351749420166
2014-03-19,9.76588249206543,2.205913782119751,4.613121509552002,5.694077014923096,6.976354122161865,3.327253818511963,7.450757026672363,13.020608901977539,3.666958808898926
2014-03-20,9.760059356689453,2.2228662967681885,4.864491939544678,5.855467319488525,7.1222615242004395,3.4893760681152344,7.474183559417725,13.139337539672852,3.669285297393799
2014-03-21,9.701826095581055,2.1932003498077393,4.810959815979004,5.845118045806885,7.149623394012451,3.4968581199645996,7.387493133544922,13.38119888305664,3.7146263122558594
2014-03-24,9.800823211669922,2.2228662967681885,4.8388895988464355,6.020992279052734,7.357090950012207,3.5966262817382812,7.511669158935547,13.447151184082031,3.72044038772583
2014-03-25,9.74841022491455,2.2080330848693848,4.850527763366699,5.973404884338379,7.398126602172852,3.611591339111328,7.4812092781066895,13.552691459655762,3.6750969886779785
2014-03-26,9.696001052856445,2.1826045513153076,4.913372039794922,6.105823040008545,7.461963176727295,3.5916383266448975,7.403891563415527,13.398783683776855,3.679006338119507
2014-03-27,9.928939819335938,2.277960777282715,5.239223480224609,6.337558269500732,7.623829364776611,3.883457660675049,7.649909496307373,13.680215835571289,3.683668851852417
2014-03-28,9.87070369720459,2.3203415870666504,5.171725749969482,6.352041244506836,7.578235149383545,3.9059059619903564,7.738941192626953,13.63624095916748,3.683668851852417
2014-03-31,9.87070369720459,2.3839123249053955,5.306719779968262,6.453426837921143,7.724151134490967,3.9358363151550293,7.762373447418213,13.816533088684082,3.695326805114746
2014-04-01,9.958056449890137,2.301270008087158,5.302066802978516,6.517569541931152,7.789148807525635,3.9433209896087646,7.630141735076904,13.790152549743652,3.695326805114746
2014-04-02,9.998821258544922,2.388150453567505,5.523178577423096,6.687487602233887,8.040040969848633,3.880965232849121,7.639532089233398,14.30463981628418,3.7606070041656494
2014-04-03,10.039729118347168,2.386031150817871,5.437062740325928,6.6522908210754395,7.946535110473633,4.104182243347168,7.7240471839904785,14.471742630004883,3.7710964679718018
2014-04-04,9.876097679138184,2.402984142303467,5.485939979553223,6.573614120483398,7.832489967346191,4.114841461181641,7.841437339782715,14.28265380859375,3.8002424240112305
2014-04-07,9.876097679138184,2.472912311553955,5.795498847961426,6.838628768920898,8.010391235351562,4.38667631149292,8.10203742980957,14.660826683044434,3.7477834224700928
2014-04-08,9.829347610473633,2.4559597969055176,5.630242824554443,6.704052448272705,7.894070625305176,4.261419773101807,7.982299327850342,14.625649452209473,3.809567451477051
2014-04-09,9.81766128540039,2.483506917953491,5.4486985206604,6.648146629333496,7.789148807525635,4.224110126495361,7.796825885772705,14.502527236938477,3.8468685150146484
2014-04-10,9.922852516174316,2.4241750240325928,5.458010673522949,6.691627025604248,7.873541355133057,4.178804397583008,7.8625640869140625,14.423371315002441,3.9284706115722656
2014-04-11,10.168290138244629,2.428412914276123,5.546453475952148,6.867613792419434,8.060572624206543,4.314721584320068,7.982299327850342,14.498123168945312,3.9762635231018066
2014-04-14,10.150757789611816,2.4156978130340576,5.462663650512695,6.78272819519043,7.957935810089111,4.245429515838623,8.090293884277344,14.405783653259277,3.9051547050476074
2014-04-15,10.133227348327637,2.358484983444214,5.392839431762695,6.7185444831848145,7.7663445472717285,4.082860469818115,7.923603534698486,13.989314079284668,3.893498659133911
2014-04-16,10.220888137817383,2.394508123397827,5.378871440887451,6.797219753265381,7.907758712768555,4.205452919006348,8.111427307128906,14.052616119384766,4.019397258758545
2014-04-17,10.162445068359375,2.4241750240325928,5.611625671386719,6.921448707580566,8.108468055725098,4.3653564453125,8.184203147888184,14.310334205627441,4.040379524230957
