Date,usdbrl,usdbrl_return,usdbrl_vol_20d,usdbrl_zscore,vix,vix_change,vix_pct_change,vix_zscore,vix_high,selic_proxy,selic_change
2014-04-24,2.217900037765503,-0.008574858115549627,0.00797754724151614,-1.4476411391028143,13.319999694824219,0.049999237060546875,0.003767839889658342,-0.9380830647682775,0.0,0.007000000216066837,-0.007999999448657036
2014-04-25,2.2090001106262207,-0.004020844758869021,0.007247323888360207,-1.5223172294329346,14.0600004196167,0.7400007247924805,0.055555611242245284,-0.4721428620416735,0.0,0.007000000216066837,0.0
2014-04-28,2.238800048828125,0.013400055327268403,0.00793691084370052,-1.0565412268808851,13.970000267028809,-0.09000015258789062,-0.006401148641668741,-0.5327374073390571,0.0,0.003000000026077032,-0.004000000189989805
2014-04-29,2.2202999591827393,-0.008297726339297302,0.007983051194622986,-1.2972847835247696,13.710000038146973,-0.26000022888183594,-0.018611325977958226,-0.7211898303372528,0.0,0.014999999664723873,0.011999999638646841
2014-04-30,2.2332000732421875,0.0057932637453111625,0.008073295588025131,-1.0707594344141365,13.40999984741211,-0.3000001907348633,-0.02188185192561176,-1.0463321638404113,0.0,0.019999999552965164,0.004999999888241291
2014-05-01,2.2279999256134033,-0.0023312785731599587,0.008038475756283964,-1.113963414470577,13.25,-0.15999984741210938,-0.011931383238828808,-1.1947088192417974,0.0,0.017999999225139618,-0.0020000003278255463
2014-05-02,2.2307000160217285,0.001211156065101143,0.007935447031380329,-1.0382189512340938,12.90999984741211,-0.3400001525878906,-0.025660388874557793,-1.4784717515678585,0.0,0.014999999664723873,-0.0029999995604157448
2014-05-05,2.2149999141693115,-0.00706307999562445,0.006701269473551084,-1.2356536227576442,13.289999961853027,0.38000011444091797,0.029434556075311757,-1.0639352377932947,0.0,0.014999999664723873,0.0
2014-05-06,2.242300033569336,0.012249775020934812,0.007044245249285992,-0.7926456044634816,13.800000190734863,0.5100002288818359,0.03837473516521572,-0.5450491215321279,0.0,0.019999999552965164,0.004999999888241291
2014-05-07,2.2269999980926514,-0.006846752349521506,0.00703678315580479,-1.0017606454976287,13.399999618530273,-0.40000057220458984,-0.028985548309857667,-0.919258427538217,0.0,0.019999999552965164,0.0
2014-05-08,2.2139999866485596,-0.005854559162780854,0.006911076288309521,-1.1815690990366585,13.430000305175781,0.030000686645507812,0.0022388572760869696,-0.8726611888188803,0.0,0.02199999988079071,0.0020000003278255463
2014-05-09,2.2130000591278076,-0.00045174046867724595,0.00653603846665676,-1.1650730659956323,12.920000076293945,-0.5100002288818359,-0.037974699723967054,-1.344842109227933,0.0,0.02199999988079071,0.0
2014-05-12,2.2074999809265137,-0.0024884429316399744,0.006479942192924873,-1.2202096061038932,12.229999542236328,-0.6900005340576172,-0.053405613775781124,-1.932826923232356,0.0,0.019999999552965164,-0.0020000003278255463
2014-05-13,2.20989990234375,0.0010865765911061988,0.006484075502213,-1.1479080069324117,12.130000114440918,-0.09999942779541016,-0.008176568400518947,-1.936331665212513,0.0,0.019999999552965164,0.0
2014-05-14,2.2116000652313232,0.0007690435299490714,0.006081727910279676,-1.090802077987826,12.170000076293945,0.039999961853027344,0.0032976060573493005,-1.816148543357591,0.0,0.019999999552965164,0.0
2014-05-15,2.199700117111206,-0.005395224307556868,0.006145099594759566,-1.2655583508506596,13.170000076293945,1.0,0.0821692681783881,-0.8960405005112813,0.0,0.017999999225139618,-0.0020000003278255463
2014-05-16,2.21560001373291,0.007202212705926683,0.006335978974219164,-0.9595736649914187,12.4399995803833,-0.7300004959106445,-0.055429042648575844,-1.484513771907516,0.0,0.014999999664723873,-0.0029999995604157448
2014-05-19,2.2102999687194824,-0.002395014603992074,0.0063529482751041024,-1.02024330547377,12.420000076293945,-0.01999950408935547,-0.0016076772318298627,-1.448780042558357,0.0,0.017999999225139618,0.0029999995604157448
2014-05-20,2.202899932861328,-0.003353595104966511,0.00638591543178297,-1.1155094798222795,12.960000038146973,0.5399999618530273,0.04347825753107082,-0.9694814971678437,0.0,0.02500000037252903,0.007000001147389412
2014-05-21,2.2128000259399414,0.00448404998490084,0.0064072061773281465,-0.9077484223538391,11.90999984741211,-1.0500001907348633,-0.0810185329972416,-1.7780356560256534,0.0,0.02500000037252903,0.0
2014-05-22,2.2051000595092773,-0.003485807319539056,0.006168069818024947,-1.015727733506128,12.029999732971191,0.11999988555908203,0.010075557270905922,-1.6135835261334754,0.0,0.02800000086426735,0.0030000004917383194
2014-05-23,2.2107999324798584,0.0025815241044302843,0.006134439182289779,-0.8813293749440888,11.359999656677246,-0.6700000762939453,-0.05569410566632382,-2.042096568955208,0.0,0.02800000086426735,0.0
2014-05-26,2.2190001010894775,0.0037022790708516364,0.005356886387497814,-0.7044172817456839,11.359999656677246,0.0,0.0,-1.9574385508714036,0.0,0.02800000086426735,0.0
2014-05-27,2.221100091934204,0.0009459205468423721,0.005032578614019956,-0.6396844878213763,11.510000228881836,0.15000057220458984,0.0132042761212956,-1.7602185816208151,0.0,0.02800000086426735,0.0
2014-05-28,2.232800006866455,0.0052537962616222315,0.005001344340663268,-0.39336391421747396,11.680000305175781,0.1700000762939453,0.01476977175616101,-1.5708761624514758,0.0,0.02800000086426735,0.0
2014-05-29,2.22760009765625,-0.002331589742644796,0.005001351945784019,-0.47017089731674405,11.569999694824219,-0.1100006103515625,-0.00941786022923452,-1.584872274365883,0.0,0.029999999329447746,0.001999998465180397
2014-05-30,2.223599910736084,-0.0017973526192936141,0.005007961720503122,-0.5237194840087551,11.399999618530273,-0.1700000762939453,-0.014693178978214982,-1.6360797361140815,0.0,0.029999999329447746,0.0
2014-06-02,2.236799955368042,0.005918789150564166,0.004906338788747966,-0.23600503061230413,11.579999923706055,0.18000030517578125,0.01578950098236831,-1.453525590338024,0.0,0.02500000037252903,-0.004999998956918716
2014-06-03,2.2737998962402344,0.016406141976242156,0.005484624842825926,0.5536456306862917,11.869999885559082,0.28999996185302734,0.025043174763702103,-1.2108667467076577,0.0,0.029999999329447746,0.004999998956918716
2014-06-04,2.276599884033203,0.00123065589027675,0.00518929648885188,0.6709358107564527,12.079999923706055,0.21000003814697266,0.01769166303046532,-1.0334550245231595,0.0,0.029999999329447746,0.0
2014-06-05,2.275399923324585,-0.0005272235444623693,0.0049444033417280235,0.7034453226094551,11.680000305175781,-0.39999961853027344,-0.033112551411966895,-1.2709859821841545,0.0,0.029999999329447746,0.0
2014-06-06,2.2562999725341797,-0.008429536080541266,0.005399753263773678,0.3270980341010287,10.729999542236328,-0.9500007629394531,-0.08133567963337107,-1.9341945017496387,0.0,0.02800000086426735,-0.001999998465180397
2014-06-09,2.242799997329712,-0.0060012072686071866,0.005572494908672099,0.039689283378764414,11.149999618530273,0.4200000762939453,0.03914259964697164,-1.5784113509770266,0.0,0.029999999329447746,0.001999998465180397
2014-06-10,2.2262001037597656,-0.007428941391323052,0.005866468055891545,-0.35769145068277863,10.989999771118164,-0.15999984741210938,-0.014349762590682436,-1.6238527086569832,0.0,0.03500000014901161,0.005000000819563866
2014-06-11,2.219099998474121,-0.003194435093269676,0.005918898191665697,-0.5292430565303383,11.600000381469727,0.6100006103515625,0.05550506124255339,-1.1527219982099715,0.0,0.032999999821186066,-0.0020000003278255463
2014-06-12,2.2304000854492188,0.00507927230304735,0.005863771407998868,-0.16167649018755748,12.5600004196167,0.9600000381469727,0.08275862125664335,-0.44757291416223766,0.0,0.032999999821186066,0.0
2014-06-13,2.2269999980926514,-0.0015255924764652643,0.005675598775266245,-0.2344545201157979,12.180000305175781,-0.38000011444091797,-0.030254785170820475,-0.693717254819243,0.0,0.029999999329447746,-0.0030000004917383194
2014-06-16,2.219599962234497,-0.0033284049637096204,0.005702324825585639,-0.4634033985490549,12.649999618530273,0.4699993133544922,0.03858779159100423,-0.32903447201725294,0.0,0.02500000037252903,-0.004999998956918716
2014-06-17,2.22979998588562,0.0045849065663926105,0.00571749054353685,-0.03863569310405676,12.0600004196167,-0.5899991989135742,-0.046640254285013394,-0.7392077831485717,0.0,0.032999999821186066,0.007999999448657036
2014-06-18,2.2588000297546387,0.01292182296786025,0.0063002511896398305,1.2617947291563565,10.609999656677246,-1.4500007629394531,-0.12023223154958551,-1.7362628516260035,0.0,0.017999999225139618,-0.015000000596046448
2014-06-19,2.2197000980377197,-0.017461616204727717,0.007490050995967188,-0.42104792977568156,10.619999885559082,0.010000228881835938,0.0009425286715765147,-1.6602512341063091,0.0,0.009999999776482582,-0.007999999448657036
2014-06-20,2.2195000648498535,-9.012127440158683e-05,0.007471582866034386,-0.4070648414003958,10.850000381469727,0.23000049591064453,0.021657297400105913,-1.4399474477408962,0.0,0.009999999776482582,0.0
2014-06-23,2.226799964904785,0.003283587056656427,0.007461822877391516,-0.03850903508948513,10.979999542236328,0.12999916076660156,0.011981489050324923,-1.299215749611177,0.0,0.004999999888241291,-0.004999999888241291
