epoch,step,train/IC,train/listfold,train/loss,train/score_std,val/position_magnitude,val/return
0,9,-0.006510414648801088,1.4220507144927979,1.4220507144927979,0.02026415430009365,,
0,19,-0.05416666343808174,1.4222335815429688,1.4222335815429688,0.01962178200483322,,
0,29,-0.007291668560355902,1.4227944612503052,1.4227944612503052,0.014709648676216602,,
0,31,,,,,0.2255711555480957,-0.0005217486177571118
1,39,0.025988703593611717,1.4218144416809082,1.4218144416809082,0.014765671454370022,,
1,49,0.0023437459021806717,1.4225854873657227,1.4225854873657227,0.012659032829105854,,
1,59,-0.01093750074505806,1.4229135513305664,1.4229135513305664,0.011895842850208282,,
1,63,,,,,0.21049447357654572,-0.0005217971047386527
2,69,0.007258058525621891,1.4224002361297607,1.4224002361297607,0.014299441128969193,,
2,79,-0.017968744039535522,1.4229848384857178,1.4229848384857178,0.020864050835371017,,
2,89,-0.008072919212281704,1.4228417873382568,1.4228417873382568,0.028439423069357872,,
2,95,,,,,0.058365922421216965,-0.0005211030947975814
3,99,-0.03177082538604736,1.4238568544387817,1.4238568544387817,0.0320870503783226,,
3,109,-0.02317708171904087,1.4240862131118774,1.4240862131118774,0.02387074939906597,,
3,119,0.09375,1.4220552444458008,1.4220552444458008,0.022708849981427193,,
3,127,,,,,0.07662453502416611,-0.0005214829579927027
4,129,0.02031249739229679,1.422430157661438,1.422430157661438,0.02079807221889496,,
4,139,-0.024218745529651642,1.4223384857177734,1.4223384857177734,0.019207462668418884,,
4,149,0.004427080042660236,1.4227036237716675,1.4227036237716675,0.020102189853787422,,
4,159,-0.005555552896112204,1.4235482215881348,1.4235482215881348,0.018168890848755836,,
4,159,,,,,0.05544210597872734,-0.0005214459961280227
5,169,0.030208326876163483,1.4216197729110718,1.4216197729110718,0.013826361857354641,,
5,179,0.007552080787718296,1.4224951267242432,1.4224951267242432,0.015063089318573475,,
5,189,0.04999999329447746,1.4216262102127075,1.4216262102127075,0.014106032438576221,,
5,191,,,,,0.051512278616428375,-0.0005217761499807239
6,199,-0.058192089200019836,1.4232150316238403,1.4232150316238403,0.011786026880145073,,
6,209,-0.02265625074505806,1.422465443611145,1.422465443611145,0.008209075778722763,,
6,219,0.06223957613110542,1.422331690788269,1.422331690788269,0.007812128867954016,,
6,223,,,,,0.05075668543577194,-0.000521775393281132
7,229,-0.0013440924230962992,1.4223302602767944,1.4223302602767944,0.010283637791872025,,
7,239,0.0377604141831398,1.422503113746643,1.422503113746643,0.007285757455974817,,
7,249,0.056510407477617264,1.4220741987228394,1.4220741987228394,0.007633508648723364,,
7,255,,,,,0.0415692999958992,-0.000521842681337148
8,259,-0.11692707240581512,1.4233087301254272,1.4233087301254272,0.009945801459252834,,
8,269,0.02604166977107525,1.4221848249435425,1.4221848249435425,0.00991229061037302,,
8,279,-0.01119791716337204,1.4224289655685425,1.4224289655685425,0.00733072217553854,,
8,287,,,,,0.03660985082387924,-0.0005218105507083237
9,289,0.017708327621221542,1.422237515449524,1.422237515449524,0.0072895074263215065,,
9,299,-0.00859375111758709,1.422695279121399,1.422695279121399,0.011869534850120544,,
9,309,-0.005989579949527979,1.4222877025604248,1.4222877025604248,0.011792847886681557,,
9,319,-0.07500000298023224,1.4228081703186035,1.4228081703186035,0.006504508201032877,,
9,319,,,,,0.03218734636902809,-0.0005217625293880701
10,329,0.02552083320915699,1.422225832939148,1.422225832939148,0.006685005500912666,,
10,339,-0.03359374776482582,1.4225612878799438,1.4225612878799438,0.005417290609329939,,
10,349,-0.0416666641831398,1.42250394821167,1.42250394821167,0.006496760528534651,,
10,351,,,,,0.03113688714802265,-0.0005217174184508622
11,359,0.04406779259443283,1.4220842123031616,1.4220842123031616,0.008298289962112904,,
11,369,-0.00833333283662796,1.4225577116012573,1.4225577116012573,0.01081523485481739,,
11,379,0.0002604234032332897,1.4228068590164185,1.4228068590164185,0.011714891530573368,,
11,383,,,,,0.009000768885016441,-0.000521831912919879
12,389,-0.043817196041345596,1.4225441217422485,1.4225441217422485,0.010376177728176117,,
12,399,-0.04583333060145378,1.4227218627929688,1.4227218627929688,0.009729042649269104,,
12,409,0.06953123956918716,1.422715187072754,1.422715187072754,0.009017139673233032,,
12,415,,,,,0.0060089933685958385,-0.000521763926371932
13,419,0.02109375223517418,1.4222050905227661,1.4222050905227661,0.007837018929421902,,
13,429,0.04583333432674408,1.4224324226379395,1.4224324226379395,0.0062604439444839954,,
13,439,0.002083331346511841,1.4221760034561157,1.4221760034561157,0.006979634519666433,,
13,447,,,,,0.0032138179522007704,-0.0005217392463237047
14,449,-0.029427077621221542,1.4224876165390015,1.4224876165390015,0.006193997338414192,,
14,459,0.08098956942558289,1.4221813678741455,1.4221813678741455,0.0055716075003147125,,
14,469,-0.0023437505587935448,1.4224910736083984,1.4224910736083984,0.004642303567379713,,
14,479,-0.07222222536802292,1.4223984479904175,1.4223984479904175,0.0056383442133665085,,
14,479,,,,,0.002897927537560463,0.0005218199221417308
15,489,-0.06484374403953552,1.4224941730499268,1.4224941730499268,0.005048692692071199,,
15,499,-0.08932290971279144,1.4227100610733032,1.4227100610733032,0.005060941446572542,,
15,509,0.09062500298023224,1.4220854043960571,1.4220854043960571,0.004300029017031193,,
15,511,,,,,0.007520162500441074,0.000521800306160003
16,519,0.007062146440148354,1.4222698211669922,1.4222698211669922,0.0035562992561608553,,
16,529,-0.08177082985639572,1.4229481220245361,1.4229481220245361,0.004481600131839514,,
16,539,0.05260416120290756,1.4222636222839355,1.4222636222839355,0.0041841911152005196,,
16,543,,,,,0.012207851745188236,0.0005218051956035197
17,549,0.11612902581691742,1.422353982925415,1.422353982925415,0.005572556518018246,,
17,559,-0.0820312425494194,1.4225651025772095,1.4225651025772095,0.00652846647426486,,
17,569,-0.00781250186264515,1.422296166419983,1.422296166419983,0.005897816736251116,,
17,575,,,,,0.01736275665462017,0.0005218062433414161
18,579,-0.0286458320915699,1.4222182035446167,1.4222182035446167,0.0051163132302463055,,
18,589,-0.006250003352761269,1.422298789024353,1.422298789024353,0.005491250194609165,,
18,599,0.03541666269302368,1.4221543073654175,1.4221543073654175,0.0053898910991847515,,
18,607,,,,,0.017292985692620277,0.0005217983853071928
19,609,0.03880207613110542,1.422296166419983,1.422296166419983,0.005074457265436649,,
19,619,0.00651041604578495,1.4224016666412354,1.4224016666412354,0.003601463045924902,,
19,629,0.0018229158595204353,1.422424554824829,1.422424554824829,0.002723210258409381,,
19,639,0.08888888359069824,1.4222325086593628,1.4222325086593628,0.0022122410591691732,,
19,639,,,,,0.0035186405293643475,0.0005216377903707325
20,649,0.017447911202907562,1.4224995374679565,1.4224995374679565,0.0024741855449974537,,
20,659,-0.01093750074505806,1.4224120378494263,1.4224120378494263,0.0005965895252302289,,
20,669,-0.0351562462747097,1.4224298000335693,1.4224298000335693,0.0003793613286688924,,
20,671,,,,,0.001241676858626306,0.0005216596182435751
21,679,0.11271186918020248,1.422418236732483,1.422418236732483,0.000227864264161326,,
21,689,0.0481770858168602,1.4224185943603516,1.4224185943603516,0.00024251941067632288,,
21,699,0.0156250037252903,1.4224300384521484,1.4224300384521484,0.0009272702736780047,,
21,703,,,,,0.006497434340417385,0.0005217302241362631
22,709,0.013709675520658493,1.4223577976226807,1.4223577976226807,0.0017020403174683452,,
22,719,-0.07317707687616348,1.4224779605865479,1.4224779605865479,0.0025714931543916464,,
22,729,0.01718749850988388,1.4223610162734985,1.4223610162734985,0.003120436565950513,,
22,735,,,,,0.013393564149737358,0.0005217991420067847
23,739,0.05390625074505806,1.4222347736358643,1.4222347736358643,0.003208023961633444,,
23,749,0.03567708283662796,1.4223601818084717,1.4223601818084717,0.0035858158953487873,,
23,759,-0.030208326876163483,1.4224439859390259,1.4224439859390259,0.004161718301475048,,
23,767,,,,,0.014447508379817009,0.0005218007718212903
24,769,-0.0067708296701312065,1.422391653060913,1.422391653060913,0.003162627574056387,,
24,779,-0.0104166679084301,1.4224882125854492,1.4224882125854492,0.0022986254189163446,,
24,789,-0.0023437507916241884,1.4224692583084106,1.4224692583084106,0.0015045014442875981,,
24,799,-0.041666656732559204,1.42240571975708,1.42240571975708,0.0014023702824488282,,
24,799,,,,,0.00853455625474453,0.0005218114238232374
25,809,-0.0351562462747097,1.422425627708435,1.422425627708435,0.0006782833370380104,,
25,819,0.05104166269302368,1.4224053621292114,1.4224053621292114,0.0006792088970541954,,
25,829,0.012499997392296791,1.422437071800232,1.422437071800232,0.0005914366920478642,,
25,831,,,,,0.007154141552746296,0.000521741749253124
26,839,-0.0025423725601285696,1.4224278926849365,1.4224278926849365,0.00012457564298529178,,
26,849,-0.10963542014360428,1.422470211982727,1.422470211982727,0.0007756132399663329,,
26,859,-0.03020833432674408,1.422439694404602,1.422439694404602,0.0012826641323044896,,
26,863,,,,,0.010692819021642208,0.0005217775469645858
27,869,-0.011021504178643227,1.4224282503128052,1.4224282503128052,0.0017403275705873966,,
27,879,-0.006770835258066654,1.4224205017089844,1.4224205017089844,0.0022705874871462584,,
27,889,-0.01901041716337204,1.4224987030029297,1.4224987030029297,0.0029437325429171324,,
27,895,,,,,0.014508967287838459,0.0005218021688051522
28,899,0.02838541567325592,1.4223785400390625,1.4223785400390625,0.0026603539008647203,,
28,909,0.031249994412064552,1.4224209785461426,1.4224209785461426,0.0027039397973567247,,
